id,description
11,"Baby sunshade top - Soft, stretchy polyester fabric is fast wicking, quick drying and breathable Details: Lap shoulders relax the silhouette  Extended roll-down cuffs accommodate growth spurts; drop hem waist provides extra coverageFabric: 4.3-oz 100% polyester jersey. Recyclable through the Common Threads Recycling ProgramWeight: (0 g 0 oz)Made in Vietnam."
12,"Baggies shorts - Even Baggies, our most popular shorts for anything, or nothing, occasionally need an update. This season we've increased the inseam length. Their casual fit, quick-drying water-repellent nylon and elasticized waistband with an internal drawstring remain the same as ever. Other features include a polyester mesh lining, a rear snap pocket and front pockets (with self-draining mesh corners) positioned to reduce drag in the water. Inseam (size M) is 7"". Recyclable through the Common Threads Recycling Program.Details: Quick-drying nylon with a DWR (durable water repellent) finish Elasticized waistband with internal drawstring; black mesh liner Vertical on-seam side pockets for reduced drag in the water; pocket bags have quick-drain-and-dry mesh corners; snap-closed back pocket ""Inseam is 7""""""Fabric: 4.2-oz 100% nylon with a DWR finish. Lining: 5.2-oz 100% polyester mesh. Recyclable through the Common Threads Recycling ProgramWeight: (233 g 8.1 oz)Made in Nicaragua."
13,"Beach bucket - Whenever you're at the junction of water and land, neutralize the sun's unforgiving rays with the wide brim and soft design of our versatile Beach Bucket. It has a durable, semi-rigid foam bill that is black underneath and casts refreshing 360-degree shade. The 6.8-oz 100% stretch-woven nylon fabric looks and feels like soft canvas, but provides water-shedding, fast-drying performance. Details: a moisture-wicking Coolmax headband, soft chin strap and an adjustable rear buckle for a reliable bond. Fabric 6.8-oz 100% stretch-woven nylon with DWR (durable water repellent) finish.Details: ""Tough, easy care, stretch-woven nylon brim has durable, semi-rigid foam that floats"" The bill provides 360-degree sun protection Black underbill to reduce glare Soft chin strap; moisture-wicking Coolmax headband; adjustable rear buckleFabric: 6.8-oz 100% stretch-woven nylon with DWR (durable water repellent) finishWeight: (106 g 3.7 oz)Made in China."
14,"Better sweater jkt - June nights camped out in New Mexico's Navajo country are starry and cold. Layer up in the softest fleece we've spun to date. Made from high-performance, sweater-knit polyester fleece, the Better Sweater is warm as wool and technically proficient. The stand-up collar has a zipper garage, and handwarmer pockets keep your fingers cozy. Recyclable through the Common Threads Recycling Program.Details: ""Soft fleece has a sweater-knit face, fleeced interior and heathered overdyed yarns"" Stand-up collar and full zip with garage Raglan sleeves Handwarmer pocketsFabric: 9.5-oz 100% polyester with sweater-knit exterior and fleece interior. Recyclable through the Common Threads Recycling ProgramWeight: (577 g 20 oz)Made in Thailand."
15,"Borderless shorts-11 in. - Go forward where others cringe. Our Borderless Shorts are made for prying into the outer reaches of unnamed terrain. They have a light, breathable fabric that blends 95% nylon (60% recycled) with 5% spandex mini ripstop to resist the effects of thrashy chimneys and provide stretch for the body language of going places. The DWR (durable water repellent) finish shrugs off water; built-in 40-UPF sun protection shades your legs in open country. Other features include a gusseted crotch to preserve mobility, two front pockets you can access while wearing a harness and a partially elastic waist to keep your shorts adhered under the load of a hip belt. The rear welted pockets secure with zips. Inseam (size M) is 11"". Recyclable through the Common Threads Recycling Program.Details: ""Supple, soft blend of recycled nylon and spandex for total mobility, a light drape, fast dry time and abrasion resistance"" Provides 40-UPF sun protection Partially elasticized waistband supports wide range of motion Generous wide-entry front pockets; left front pocket has a hidden internal zip security pocket; welted zippered back pockets Gusseted crotch for mobility ""Inseam is 11""""""Fabric: 4-oz 95% nylon (60% recycled)/5% spandex with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling ProgramWeight: (219 g 7.6 oz)Made in Vietnam."
16,"Borderless shorts-7 in. - One of summertime's gifts is the chance to freely traverse alpine country. These shorts let you make the most of the season. They're made from a soft, supple weave of 95% nylon (60% recycled) and 5% spandex mini ripstop to stretch with energetic moves and breathe for a cooling airflow. A gusseted crotch allows a wide range of motion and a partially elastic waist keeps your shorts adhered under the load of a hip belt. Two on-the-slant front pockets ensure accessibility under a harness; the rear welted pockets secure with zips. With 40-UPF sun protection; inseam (size M) is 7"". Recyclable through the Common Threads Recycling Program.Details: ""Supple, soft blend of recycled nylon and spandex for total mobility, a light drape, fast dry time and abrasion resistance"" Provides 40-UPF sun protection Partially elasticized waistband supports wide range of motion Generous wide-entry front pockets; welted zippered back pockets Gusseted crotch for mobility Inseam is 7'Fabric: 4-oz 95% nylon (60% recycled)/5% spandex with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling ProgramWeight: (201 g 7 oz)Made in Vietnam."
17,"Bucket hat - Besides its shade-casting prowess, the Bucket provides perfect eye cover after an extra-large fish taco fest. It's made from soft, fast-drying 100% nylon with a water-shedding finish to repel rain and ocean spray. The Bucket Hat features a time-tested design with a linear crown, crushable brim and ventilation holes to keep your noggin from hard-boiling. It also rolls into its own inside pocket.Details: ""Lightweight, fast-drying, easy-care fabric"" DWR (durable water repellent) finish sheds rain and ocean spray ""Crushable, 360-degree brim provides complete sun protection"" Rolls into its inside pocketFabric: 4.2-oz 100% nylon with a DWR (durable water repellent) finishWeight: (63 g 2.2 oz)Made in China."
18,"Cap 1 bottoms - Spring skiing is as transient as the wind. Move fast, move light, and still stay dry with our lightest-weight Capilene performance baselayer. These bottoms wick perspiration, breathe, and dry quickly. Under a shell, they insulate without overheating. The waistband is brushed for softness, inseams are set forward to prevent chafe, and a gusseted crotch improves mobility. With a functional fly. Made from 3.7-oz 100% all-recycled polyester, with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.Details: Silky soft Capilene 1 is the lightest of our technical baselayer fabrics ""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps"" Elastic waistband is brushed for next-to-skin softness ""Streamlined, functional fly"" Inseams are set forward to prevent chafeFabric: 3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling ProgramWeight: (158 g 5.5 oz)Made in USA."
19,"Cap 1 boxer briefs - On bivy or belay, the form-fitting Capilene 1 Boxer Briefs stay dry and comfortable. Made from 100% recycled polyester, the underwear excels at moisture-wicking and has Gladiodor natural odor control for the garment. Exposed elastic waistband is brushed for softness; the hem is coverstitched for a smooth glide beneath shorts or pants. Fully-functioning fly and supportive front panel keep you covered. 5 1/2"" inseam (size M). Recyclable through the Common Threads Recycling Program.Details: Moisture-wicking Capilene 1 fabric with Gladiodor for exceptional next-to-skin comfort and natural odor control for the garment Brushed elastic waistband Supportive front panel ""Cover-stitched hem for smooth glide under shorts or pants, won't restrict mobility"" ""Inseam (size M) is 5 1/2""""""Fabric: 3.7-oz 100% all-recycled polyester with Gladiodor&#174; natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: (72 g 2.5 oz)Made in USA."
20,"Cap 1 graphic t-shirt - This tee is made from our lightest-weight Capilene fabric to achieve a harmonic balance between technical ability and slacker prowess. Designed for dry, cool comfort and sun protection, it's highly breathable and fast-drying and has a silky feel. With a rib-knit collar that's soft against the skin, raglan sleeves that reduce chafing under packs and a tuckable length. Sublimated graphics won't impede breathability. Made from 3.7-oz 100% all-recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.Details: Silky soft Capilene 1 is the lightest of our technical baselayer fabrics ""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps"" Rib-knit collar is soft against the skin Graphic elements sublimated into the fabric won't impede breathability or wicking performance Set-in sleeves Cut long enough to tuck inFabric: 3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling ProgramWeight: (132 g 4.6 oz)Made in USA."
21,"Cap 1 t-shirt - Minimally styled but technically evolved for punishing expanses of hot country, our silky, ultra-breathable Capilene 1 T-Shirt is quick to wick and fast to dry. The rib-knit collar is soft against skin, and the generous hem is long enough to tuck in. Made from 3.7-oz 100% all-recycled polyester, with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling Program.Details: Silky soft Capilene 1 is the lightest of our technical baselayer fabrics ""Fast-drying, highly breathable and sleek, it provides 15-UPF sun protection and can be worn either on its own or under layers in cooler temps"" Rib-knit collar is soft against the skin Set-in sleeves Cut long enough to tuck inFabric: 3.7-oz 100% recycled polyester with Gladiodor natural odor control for the garment and 15-UPF sun protection. Recyclable through the Common Threads Recycling ProgramWeight: 130 g (4.6 oz)Made in USA."
22,"Cap 2 t-shirt - This one revels in the sweat jamborees of hill climbs, ridge runs and desert singletrack under a resolute sun. Made from the fastest-drying of our performance baselayer fabrics, it has an open knit that invites airflow and provides excellent wicking and exceptional breathability. When worn beneath layers, it's also insulative enough for chilly days. The self-binding neck is pliable and soft; raglan sleeves and flat-ribbed underarm panels merge out of the way of straps to eliminate chafe. Made of 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: Capilene 2 fabric has an open knit that invites airflow and provides excellent wicking for endurance activities in warm to moderate temperatures ""Fastest-drying of our Capilene fabrics, it insulates enough for use on chilly days and can be worn beneath other layers"" Self-fabric neckline soft against skin Raglan sleeves and underarm panels merge out of the way of pack straps ""Flat-rib panel-piecing under the arms and sides is exceptionally breathable, fast drying and eliminates armpit seam chafing""Fabric: 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: 121 g (4.3 oz)Made in Mexico."
23,"Cap 2 zip neck - Designed for wet-then-chill pursuits like backcountry skiing, alpine climbing and mountain trekking, our fastest-drying performance baselayer will keep you cool during endurance activities in warmer temperatures, but also insulates when skies turn dark. Its open knit invites airflow and provides excellent wicking and exceptional breathability. A draft flap backs the zipper, and raglan sleeves eliminate chafe under pack straps. Flat-rib side panels merge with flat, offset seams for chafe-free comfort. Made from 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: Capilene 2 fabric has open knit that invites airflow and provides excellent wicking for endurance activities in warm to moderate temperatures ""Fastest-drying of our Capilene fabrics, it insulates enough for use on chilly days and can be worn beneath other layers"" Zip-neck for easy climate control is backed by draft flap and zipper garage Raglan sleeves and underarm panels merge out of the way of pack straps ""Flat-rib panel-piecing under the arms and sides is exceptionally breathable, fast drying and eliminates armpit seam chafing""Fabric: 4-oz 100% polyester (54% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: (175 g 6.1 oz)Made in Mexico."
24,"Cap 3 zip neck - Capilene 3 provides excellent insulation and next-to-skin comfort for endurance activities in cool to cold conditions. Its dense interior honeycomb construction is brushed for warmth, softness and compressibility, and a smooth jersey exterior glides readily beneath layers. Raglan sleeves and a single-piece shoulder panel merge out of the way of shoulder straps. Seams are rolled forward and side panels are offset to eliminate chafe. The zip-neck, backed by a draft flap and zipper garage, makes for easy climate control. Made from 4.8-oz 100% polyester (64% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: ""The fastest-wicking of our baselayer fabrics, Capilene 3 features a dense interior honeycomb construction"" ""Fabric next to skin is brushed for warmth, softness and compressibility, while providing excellent insulation and breathability"" Smooth jersey exterior glides easily under layers Zip-neck for easy climate control is backed by draft flap and zipper garage Raglan sleeves and single-piece shoulder panel merge out of the way of pack straps Side seams are rolled forward for comfort under hip beltFabric: 4.8-oz 100% polyester (64% recycled) with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling ProgramWeight: 221 g (7.8 oz)Made in Costa Rica."
25,"Cap 4 bottoms - For sufferfests like the Grand in January, a pair of these warm bottoms will add a bright side to your grief. Our warmest synthetic performance baselayer, Capilene 4 fabric is stretchy and compressible. Its smooth jersey exterior glides easily beneath layers, and the cozy internal grid traps warmth, wicks moisture, and is highly breathable. With a brushed-elastic waistband that's soft against skin. Made from 5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.Details: ""Our warmest baselayer fabric, Capilene 4 offers stretch, great breathability and compressibility"" ""Interior grid wicks moisture, trims bulk and provides warmth"" Smooth jersey face slides easily beneath layers ""4-panel construction, pull-on tights"" Elastic waistband is brushed for next-to-skin softnessFabric: ""5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program""Weight: (187 g 6.5 oz)Made in Costa Rica."
26,"City by the sea t-shirt - Illustrating the renaissance of sea-inspired, community living, artist Geoff McFetridge's work adorns the City-By-The-Sea T-Shirt. Lightweight, 100% organic cotton fabric is ringspun for softness. Taped shoulder seams prevent chafing. PVC- and phthalate-free inks are easier on the environment. The tee is Recyclable through the Common Threads Recycling Program.Details: Ringspun yarns for a softer hand Taped shoulder seams Screen-print inks are PVC- and phthalate-freeFabric: 4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling ProgramWeight: (150 g 5.2 oz)Made in USA."
27,"Compound cargo pants - long - The ultimate do-everything pants, built to withstand daily abuse. With cargo pockets modeled after vintage army blocks, our Compound Cargos are perfect for hitting the trail with a stash of climbing shoes, multitools, spare fins, wax, dry salami and the odd can of beer. Additional pocketing includes two generous front drop-in and two rear with hidden button-flap closures. Made from tough 5.5-oz organic cotton ripstop that has the tear strength of standard 8-oz material, they're hardy but lightweight and ready for action. Inseams (size 32): short, 30""; regular, 32""; long, 34"". Recyclable through the Common Threads Recycling Program.Details: Lightweight yet durable organic cotton ripstop Features our new fit block Two generous wide-entry drop-in front pockets Two side-seam cargo pockets with hidden button flap Two rear pockets with hidden button flap ""Inseam is 34""""""Fabric: 5.5-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling ProgramWeight: (548 g 19 oz)Made in Thailand."
28,"Compound cargo pants - reg - The ultimate do-everything pants, built to withstand daily abuse. With cargo pockets modeled after vintage army blocks, our Compound Cargos are perfect for hitting the trail with a stash of climbing shoes, multitools, spare fins, wax, dry salami and the odd can of beer. Additional pocketing includes two generous front drop-in and two rear with hidden button-flap closures. Made from tough 5.5-oz organic cotton ripstop that has the tear strength of standard 8-oz material, they're hardy but lightweight and ready for action. Inseams (size 32): short, 30""; regular, 32""; long, 34"". Recyclable through the Common Threads Recycling Program.Details: Lightweight yet durable organic cotton ripstop Features our new fit block Two generous wide-entry drop-in front pockets Two side-seam cargo pockets with hidden button flap Two rear pockets with hidden button flap ""Inseam is 32""""""Fabric: 5.5-oz 100% organic cotton ripstop. Recyclable through the Common Threads Recycling ProgramWeight: (536 g 18.6 oz)Made in Thailand."
29,"Continental shorts - Wrinkle-resistant travel shorts that do what any great mountainside-to-museum garment should: wick moisture, dry quickly, and look sharp after successive days of use. The Continentals deploy our classic Guide fabric - a tough, agile blend of 53% polyester and 47% nylon with a DWR (durable water repellent) finish. Details include drop-in front pockets and two cargo and two rear pockets (each with one zipper closure and one hook-and-loop velcro closure). Regular fit; inseam (size 32) is 10 1/2"". Recyclable through the Common Threads Recycling Program.Details: ""Wrinkle-resistant, fast-drying polyester and nylon blend"" Zip fly with button closure Drop-in front pockets Rear cargo pockets: right zippered; left with hook-and-loop closure ""Side-seam cargo pockets: one zippered security, one with hook-and-loop for easy-access"" DWR finish ""Inseam is 10 1/2""""""Fabric: 5.2-oz 53% polyester/47% nylon with a DWR finish. Recyclable through the Common Threads Recycling ProgramWeight: 269 g (9.5 oz)Made in Vietnam."
30,"Cotton board shorts - A classic in fabric and form, the 5.6-oz 100% organic cotton brushed canvas of these board shorts provides lightweight durability in and out of the water, with a pattern inspired by plantation-era cane field workshirts. A self-fabric waistband and flat-lying 2-button fly are cleanly styled, and the flapped patch pocket with metal button closure has double-needle stitched seams. Inseam (size 32) is 10""; outseam is 20"". Recyclable through the Common Threads Recycling Program.Details: A Hawaiian classic in fabric and form Fabric pattern inspired by plantation-era cane field workshirts Self-fabric waistband with a flat-lying 2-button fly Flapped patch pocket with metal button closure and double-needle stitched seams ""Inseam (size 32) is 10""""; outseam is 20"""""" Now available in size 29Fabric: 5.6-oz 100% organic cotton brushed canvas. Recyclable through the Common Threads Recycling ProgramWeight: (222 g 7.7 oz)Made in Thailand."
31,"Crosstown - Crosstown or cross-country, this fully featured commuter backpack ensures that your life stays organized whether you're office-bound, hiking the steep and narrow, or somewhere in the global commute. Inside its zippered main compartment, it features a suspended, self-adjusting padded laptop sleeve that handles a 15"" to 17"""" laptop. A secondary zippered compartment opens to a portable office organizer system. With a front catch-all sleeve (with hidden zipper) that provides easy access to documents; a stretch-woven water-bottle pocket and a fleece-lined top pocket that protects sunglasses or electronics; 3-D spacer-mesh backpack straps and back padding for comfort and breathability; an adjustable sternum strap with built-in safety whistle. Made from 150-denier all-recycled polyester double weave with a polyurethane coating and a DWR (durable water repellent) finish.Details: ""Large, zippered main compartment has fully padded, suspended laptop sleeve and separate internal mesh organizer sleeve; second zippered compartment has office organizer pockets"" ""Front catch-all sleeve with hidden zipper provides easy-access to documents, tickets and other important materials; Side organizer pocket with detachable key chain"" Stretch-woven water bottle pocket; fleece-lined top pocket for sunglasses or electronics ""3-D spacer-mesh straps and back pad wick moisture, dry quickly and allow air circulation; shoulder straps have slots for clip-on attachments; adjustable sternum strap with built-in safety whistle"" Web carrying handle Stowable attachment straps ""Holds 15""""- 17"""" laptop""Fabric: 7.4-oz 150-denier 100% all-recycled polyester double weave. Lining: 3.3-oz 200-denier 100% polyester. Both with polyurethane coating and a DWR (durable water repellent) finish. Shoulder straps: 100% polyester 3-D spacer meshWeight: (781 g 27.1 oz)Made in Vietnam."
32,"Custodian pants - long - The graveyard shift has its advantages: quitting time = dawn patrol. Our Custodian Pants are defined by their strong work ethic. They're made from a tough but comfortable 5.2-oz organic cotton canvas, with a flat front, generous wide-entry front pockets, welted back pockets, and a zip fly with button closure. Inseams (size 32): short, 30""; regular, 32""; long, 34"". Recyclable through the Common Threads Recycling Program.Details: Lightweight organic cotton canvas Zip fly with button closure Flat front with offset side seams Generous wide-entry front pockets; welted back pockets ""Inseam is 34""""""Fabric: 5.2-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling ProgramWeight: (450 g 15.6 oz)Made in Thailand."
